timestamp,pupil_left,pupil_right,validity_left,validity_right,event
9380030.683,3.67407,3.36801,0,0,gray
9380047.35,3.68016,3.37337,0,0,gray
9380064.016,3.6813,3.37534,0,0,gray
9380080.683,3.68109,3.37698,0,0,gray
9380097.35,3.68503,3.37747,0,0,gray
9380114.016,3.68835,3.38335,0,0,gray
9380130.683,3.69081,3.38309,0,0,gray
9380147.35,3.69434,3.38432,0,0,gray
9380164.016,3.6946,3.38936,0,0,gray
9380180.683,3.69395,3.38402,0,0,gray
9380197.35,3.69247,3.38528,0,0,gray
9380214.016,3.69632,3.38647,0,0,gray
9380230.683,3.69574,3.3858,0,0,gray
9380247.35,3.69603,3.38681,0,0,gray
9380264.016,3.69263,3.38597,0,0,gray
9380280.683,3.69814,3.38774,0,0,gray
9380297.35,3.7005,3.38876,0,0,gray
9380314.016,3.69624,3.38974,0,0,gray
9380330.683,3.69948,3.38808,0,0,gray
9380347.35,3.70221,3.38779,0,0,gray
9380364.016,3.70467,3.39322,0,0,gray
9380380.683,3.70442,3.39647,0,0,gray
9380397.35,3.7122,3.39716,0,0,gray
9380414.016,3.71422,3.39961,0,0,gray
9380430.683,3.724,3.39877,0,0,gray
9380447.35,3.72633,3.40179,0,0,gray
9380464.016,3.73317,3.40921,0,0,gray
9380480.683,3.74068,3.41385,0,0,gray
9380497.35,3.74724,3.41678,0,0,gray
9380514.016,3.75645,3.42453,0,0,gray
9380530.683,3.76266,3.43027,0,0,gray
9380547.35,3.77437,3.43147,0,0,gray
9380564.016,3.78745,3.4419400000000002,0,0,gray
9380580.683,3.79991,3.4538,0,0,gray
9380597.35,3.81465,3.46205,0,0,gray
9380614.016,3.82028,3.46638,0,0,gray
9380630.683,3.83321,3.48112,0,0,gray
9380647.35,3.84319,3.48531,0,0,gray
9380664.016,3.85725,3.49165,0,0,gray
9380680.683,3.86746,3.50195,0,0,gray
9380697.35,3.87665,3.50417,0,0,gray
9380714.016,3.88982,3.51543,0,0,gray
9380730.683,3.90085,3.52753,0,0,gray
9380747.35,3.9136,3.52806,0,0,gray
9380764.016,3.92267,3.53877,0,0,gray
9380780.683,3.93236,3.54189,0,0,gray
9380797.35,3.94536,3.55334,0,0,gray
9380814.016,3.94987,3.55553,0,0,gray
9380830.683,3.96024,3.56367,0,0,gray
9380847.35,3.96967,3.56822,0,0,gray
9380864.016,3.97719,3.57487,0,0,gray
9380880.683,3.98404,3.58472,0,0,gray
9380897.35,3.99641,3.58839,0,0,gray
9380914.016,3.99716,3.59128,0,0,gray
9380930.683,4.00359,3.59593,0,0,gray
9380947.35,4.01404,3.61247,0,0,gray
9380964.016,4.02144,3.61229,0,0,gray
9380980.683,4.026,3.62204,0,0,gray
9380997.35,4.03061,3.62796,0,0,gray
9381014.016,4.0405,3.62521,0,0,gray
9381030.683,4.0508,3.62822,0,0,gray
9381047.35,4.04819,3.62798,0,0,gray
9381064.016,4.05197,3.63588,0,0,gray
9381080.683,4.05592,3.64021,0,0,gray
9381097.35,4.05663,3.64149,0,0,gray
9381114.016,4.05951,3.64407,0,0,gray
9381130.683,4.06958,3.64102,0,0,gray
9381147.35,4.06819,3.64728,0,0,gray
9381164.016,4.07372,3.64828,0,0,gray
9381180.683,4.07614,3.65112,0,0,gray
9381197.35,4.07623,3.65604,0,0,gray
9381214.016,4.08138,3.65718,0,0,gray
9381230.683,4.08418,3.658,0,0,gray
9381247.35,4.08784,3.65675,0,0,gray
9381264.016,4.09676,3.6615,0,0,gray
9381280.683,4.0993,3.66457,0,0,gray
9381297.35,4.10185,3.66451,0,0,gray
9381314.016,4.104,3.66794,0,0,gray
9381330.683,4.10487,3.66777,0,0,gray
9381347.35,4.11104,3.67046,0,0,gray
9381364.016,4.10912,3.67169,0,0,gray
9381380.683,4.11284,3.6716,0,0,gray
9381397.35,4.10507,3.67671,0,0,gray
9381414.016,4.10432,3.67836,0,0,gray
9381430.683,4.10614,3.68152,0,0,gray
9381447.35,4.11043,3.67897,0,0,gray
9381464.016,4.10962,3.68118,0,0,gray
9381480.683,4.11548,3.68404,0,0,gray
9381497.35,4.11064,3.69,0,0,gray
9381514.016,4.10992,3.69307,0,0,gray
9381530.683,4.1153,3.69402,0,0,gray
9381547.35,4.10901,3.69302,0,0,gray
9381564.016,4.11404,3.69339,0,0,gray
9381580.683,4.11217,3.69095,0,0,gray
9381597.35,4.11569,3.6981,0,0,gray
9381614.016,4.11478,3.69983,0,0,gray
9381630.683,4.11507,3.69797,0,0,gray
9381647.35,4.11082,3.70512,0,0,gray
9381664.016,4.11159,3.70134,0,0,gray
9381680.683,4.11394,3.70247,0,0,gray
9381697.35,4.11308,3.70532,0,0,gray
9381714.016,4.11365,3.70425,0,0,gray
9381730.683,4.10843,3.70442,0,0,gray
9381747.35,4.11058,3.70213,0,0,gray
9381764.016,4.11353,3.70731,0,0,gray
9381780.683,4.10959,3.70575,0,0,gray
9381797.35,4.11501,3.69788,0,0,gray
9381814.016,4.10345,3.70912,0,0,gray
9381830.683,4.11484,3.71135,0,0,gray
9381847.35,4.11873,3.70528,0,0,gray
9381864.016,4.11038,3.71016,0,0,gray
9381880.683,4.10733,3.7074,0,0,gray
9381897.35,4.11275,3.70924,0,0,gray
9381914.016,4.11873,3.711,0,0,gray
9381930.683,4.12207,3.71201,0,0,gray
9381947.35,4.12187,3.7113,0,0,gray
9381964.016,4.10962,3.71239,0,0,gray
9381980.683,4.10811,3.7132,0,0,gray
9381997.35,4.11241,3.71422,0,0,gray
9382014.016,4.11227,3.7083,0,0,gray
9382030.683,4.10951,3.71494,0,0,gray
9382047.35,4.10686,3.7113,0,0,gray
9382064.016,4.10835,3.71387,0,0,picture
9382080.683,4.10265,3.71385,0,0,picture
9382097.35,4.10338,3.70815,0,0,picture
9382114.016,4.11404,3.71669,0,0,picture
9382130.683,4.11276,3.71759,0,0,picture
9382147.35,4.11334,3.71198,0,0,picture
9382164.016,4.10541,3.71721,0,0,picture
9382180.683,4.10484,3.71658,0,0,picture
9382197.35,4.10463,3.71727,0,0,picture
9382214.016,4.11453,3.7122,0,0,picture
9382230.683,4.11482,3.714,0,0,picture
9382247.35,4.114,3.71867,0,0,picture
9382264.016,4.11304,3.71303,0,0,picture
9382280.683,4.11943,3.71817,0,0,picture
9382297.35,4.12267,3.71959,0,0,picture
9382314.016,4.12186,3.71257,0,0,picture
9382330.683,4.13115,3.71999,0,0,picture
9382347.35,4.13132,3.71362,0,0,picture
9382364.016,4.14037,3.71515,0,0,picture
9382380.683,4.14294,3.71587,0,0,picture
9382397.35,4.15302,3.71985,0,0,picture
9382414.016,4.1537,3.71599,0,0,picture
9382430.683,4.1619,3.71722,0,0,picture
9382447.35,4.17049,3.71309,0,0,picture
9382464.016,4.16377,3.71513,0,0,picture
9382480.683,4.16695,3.71274,0,0,picture
9382497.35,4.17418,3.71436,0,0,picture
9382514.016,4.17085,3.71388,0,0,picture
9382530.683,4.17998,3.71741,0,0,picture
9382547.35,4.18098,3.71858,0,0,picture
9382564.016,4.1922,3.71889,0,0,picture
9382580.683,4.19159,3.72917,0,0,picture
9382597.35,4.20308,3.73288,0,0,picture
9382614.016,4.20636,3.73895,0,0,picture
9382630.683,4.21721,3.74516,0,0,picture
9382647.35,4.22116,3.74545,0,0,picture
9382664.016,4.23383,3.75742,0,0,picture
9382680.683,4.2438,3.76608,0,0,picture
9382697.35,4.25397,3.77232,0,0,picture
9382714.016,4.26421,3.78307,0,0,picture
9382730.683,4.27959,3.79527,0,0,picture
9382747.35,4.29152,3.80489,0,0,picture
9382764.016,4.30165,3.814,0,0,picture
9382780.683,4.31555,3.82153,0,0,picture
9382797.35,4.32513,3.83681,0,0,picture
9382814.016,4.33745,3.85159,0,0,picture
9382830.683,4.35291,3.8595,0,0,picture
9382847.35,4.36389,3.86949,0,0,picture
9382864.016,4.37773,3.88338,0,0,picture
9382880.683,4.38863,3.89478,0,0,picture
9382897.35,4.40202,3.90643,0,0,picture
9382914.016,4.41432,3.91943,0,0,picture
9382930.683,4.4315,3.93124,0,0,picture
9382947.35,4.4404,3.94362,0,0,picture
9382964.016,4.45653,3.94632,0,0,picture
9382980.683,4.4664,3.96181,0,0,picture
9382997.35,4.47891,3.97652,0,0,picture
9383014.016,4.49367,3.97017,0,0,picture
9383030.683,4.50789,3.99249,0,0,picture
9383047.35,4.52454,4.00414,0,0,picture
9383064.016,4.53334,4.01843,0,0,picture
9383080.683,4.54587,4.02936,0,0,picture
9383097.35,4.55885,4.04108,0,0,picture
9383114.016,4.57181,4.05183,0,0,picture
9383130.683,4.58589,4.06586,0,0,picture
9383147.35,4.60289,4.07014,0,0,picture
9383164.016,4.61356,4.08858,0,0,picture
9383180.683,4.62534,4.09572,0,0,picture
9383197.35,4.63983,4.112,0,0,picture
9383214.016,4.65422,4.11235,0,0,picture
9383230.683,4.66512,4.12674,0,0,picture
9383247.35,4.67709,4.13695,0,0,picture
9383264.016,4.69142,4.14935,0,0,picture
9383280.683,4.70247,4.1658,0,0,picture
9383297.35,4.71736,4.16972,0,0,picture
9383314.016,4.72937,4.18771,0,0,picture
9383330.683,4.74045,4.19406,0,0,picture
9383347.35,4.75433,4.20668,0,0,picture
9383364.016,4.76662,4.21793,0,0,picture
9383380.683,4.77902,4.22954,0,0,picture
9383397.35,4.7932,4.2399,0,0,picture
9383414.016,4.80305,4.25444,0,0,picture
9383430.683,4.81499,4.26436,0,0,picture
9383447.35,4.82559,4.27728,0,0,picture
9383464.016,4.83748,4.29218,0,0,picture
9383480.683,4.84758,4.3015,0,0,picture
9383497.35,4.8385,4.31728,0,0,picture
9383514.016,-1,4.24498,4,0,picture
9383530.682714285,-1,-1,4,4,picture
9383547.349428572,-1,-1,4,4,picture
9383564.016142856,-1,-1,4,4,picture
9383580.682857143,-1,-1,4,4,picture
9383597.34957143,-1,-1,4,4,picture
9383614.016285716,-1,-1,4,4,picture
9383630.683,4.99251,4.19681,0,0,picture
9383647.35,4.79276,4.41183,0,0,picture
9383664.016,4.78143,4.42752,0,0,picture
9383680.683,4.93581,4.43842,0,0,picture
9383697.35,4.96158,4.44771,0,0,picture
9383714.016,4.96843,4.45685,0,0,picture
9383730.683,4.97212,4.46651,0,0,picture
9383747.35,4.97823,4.47583,0,0,picture
9383764.016,4.98216,4.48415,0,0,picture
9383780.683,4.99165,4.49413,0,0,picture
9383797.35,4.9989,4.50345,0,0,picture
9383814.016,5.00482,4.51065,0,0,picture
9383830.683,5.01256,4.52086,0,0,picture
9383847.35,5.01593,4.53001,0,0,picture
9383864.016,5.02704,4.54015,0,0,picture
9383880.683,5.03073,4.54825,0,0,picture
9383897.35,5.04041,4.55998,0,0,picture
9383914.016,5.0455,4.56662,0,0,picture
9383930.683,5.05211,4.57742,0,0,picture
9383947.35,5.05902,4.58568,0,0,picture
9383964.016,5.06837,4.59421,0,0,picture
9383980.683,5.07388,4.6026300000000004,0,0,picture
9383997.35,5.08034,4.62183,0,0,picture
9384014.016,5.08879,4.62202,0,0,picture
9384030.683,5.0939,4.62935,0,0,picture
9384047.35,5.10144,4.63687,0,0,picture
9384064.016,5.10358,4.64589,0,0,picture
9384080.683,5.10957,4.65172,0,0,picture
9384097.35,5.11572,4.66148,0,0,picture
9384114.016,5.12204,4.66652,0,0,picture
9384130.683,5.12897,4.67587,0,0,picture
9384147.35,5.13342,4.67975,0,0,picture
9384164.016,5.13908,4.68867,0,0,picture
9384180.683,5.14395,4.69431,0,0,picture
9384197.35,5.14616,4.70425,0,0,picture
9384214.016,5.14687,4.70461,0,0,picture
9384230.683,5.15501,4.711,0,0,picture
9384247.35,5.15627,4.71866,0,0,picture
9384264.016,5.15714,4.72086,0,0,picture
9384280.683,5.1586,4.72697,0,0,picture
9384297.35,5.17319,4.73152,0,0,picture
9384314.016,5.16078,4.73549,0,0,picture
9384330.683,5.16032,4.73947,0,0,picture
9384347.35,5.16206,4.74405,0,0,picture
9384364.016,5.1705,4.74968,0,0,picture
9384380.683,5.16037,4.74908,0,0,picture
9384397.35,5.1624,4.75319,0,0,picture
9384414.016,5.15765,4.75369,0,0,picture
9384430.683,5.15849,4.7562,0,0,picture
9384447.35,5.1555,4.7561,0,0,picture
9384464.016,5.15598,4.75841,0,0,picture
9384480.683,5.15347,4.75851,0,0,picture
9384497.35,5.15155,4.75764,0,0,picture
9384514.016,5.14726,4.7583,0,0,picture
9384530.683,5.14764,4.75912,0,0,picture
9384547.35,5.14316,4.75952,0,0,picture
9384564.016,5.14294,4.75841,0,0,picture
9384580.683,5.13852,4.75735,0,0,picture
9384597.35,5.13933,4.75761,0,0,picture
9384614.016,5.13582,4.75667,0,0,picture
9384630.683,5.1367,4.75836,0,0,picture
9384647.35,5.13354,4.75609,0,0,picture
9384664.016,5.13499,4.757,0,0,picture
9384680.683,5.13235,4.75597,0,0,picture
9384697.35,5.13191,4.75633,0,0,picture
9384714.016,5.13016,4.75746,0,0,picture
9384730.683,5.12889,4.75606,0,0,picture
9384747.35,5.13051,4.75327,0,0,picture
9384764.016,5.1295,4.75293,0,0,picture
9384780.683,5.12943,4.75327,0,0,picture
9384797.35,5.13123,4.75261,0,0,picture
9384814.016,5.1306,4.75319,0,0,picture
9384830.683,5.13185,4.75539,0,0,picture
9384847.35,5.13167,4.75516,0,0,picture
9384864.016,5.13704,4.75543,0,0,picture
9384880.683,5.13675,4.75798,0,0,picture
9384897.35,5.13911,4.757,0,0,picture
9384914.016,5.14233,4.75641,0,0,picture
9384930.683,5.14375,4.76042,0,0,picture
9384947.35,5.1468,4.75801,0,0,picture
9384964.016,5.14998,4.76149,0,0,picture
9384980.683,5.15277,4.76343,0,0,picture
9384997.35,5.15553,4.76678,0,0,picture
9385014.016,5.15677,4.767,0,0,picture
9385030.683,5.16206,4.76797,0,0,picture
9385047.35,5.1633,4.76996,0,0,picture
9385064.016,5.16658,4.77193,0,0,picture
9385080.683,5.1667,4.77295,0,0,picture
9385097.35,5.17116,4.77496,0,0,picture
9385114.016,5.17415,4.77762,0,0,picture
9385130.683,5.17888,4.78069,0,0,picture
9385147.35,5.18005,4.78265,0,0,picture
9385164.016,5.18231,4.78571,0,0,picture
9385180.683,5.18523,4.78693,0,0,picture
9385197.35,5.18811,4.78943,0,0,picture
9385214.016,5.18845,4.79044,0,0,picture
9385230.683,5.19197,4.7961,0,0,picture
9385247.35,5.19691,4.79648,0,0,picture
9385264.016,5.20151,4.79782,0,0,picture
9385280.683,5.20189,4.80014,0,0,picture
9385297.35,5.20323,4.8024,0,0,picture
9385314.016,5.20546,4.80479,0,0,picture
9385330.683,5.2088,4.8071,0,0,picture
9385347.35,5.21078,4.80817,0,0,picture
9385364.016,5.21422,4.80878,0,0,picture
9385380.683,5.21878,4.81277,0,0,picture
9385397.35,5.22202,4.81401,0,0,picture
9385414.016,5.22307,4.8156,0,0,picture
9385430.683,5.22652,4.82051,0,0,picture
9385447.35,5.22661,4.82173,0,0,picture
9385464.016,5.22935,4.82481,0,0,picture
9385480.683,5.23032,4.82292,0,0,picture
9385497.35,5.23413,4.82545,0,0,picture
9385514.016,5.23495,4.82758,0,0,picture
9385530.683,5.23825,4.82719,0,0,picture
9385547.35,5.24063,4.82932,0,0,picture
9385564.016,5.244,4.82922,0,0,picture
9385580.683,5.24509,4.83134,0,0,picture
9385597.35,5.24979,4.83395,0,0,picture
9385614.016,5.25208,4.83743,0,0,picture
9385630.683,5.25572,4.84048,0,0,picture
9385647.35,5.258,4.84222,0,0,picture
9385664.016,5.26184,4.84637,0,0,picture
9385680.683,5.26225,4.84535,0,0,picture
9385697.35,5.26678,4.84973,0,0,picture
9385714.016,5.12869,4.85576,0,0,picture
9385730.683,-1,4.82584,4,0,picture
9385747.349625,-1,-1,4,4,picture
9385764.01625,-1,-1,4,4,picture
9385780.682875,-1,-1,4,4,picture
9385797.3495,-1,-1,4,4,picture
9385814.016125,-1,-1,4,4,picture
9385830.68275,-1,-1,4,4,picture
9385847.349375,-1,-1,4,4,picture
9385864.016,5.16615,4.69933,0,0,picture
9385880.683,5.12083,4.73119,0,0,picture
9385897.35,5.22751,4.69318,0,0,picture
9385914.016,-1,4.745,4,0,picture
9385930.683,5.1006,4.80878,0,0,picture
9385947.35,5.17763,4.85332,0,0,picture
